Date,Price,Open,High,Low,Vol.,Change %,Bank
10/20/2023,"23,100.0","21,600.0","23,100.0","20,950.0",3.13M,6.94%,CTS
10/19/2023,"21,600.0","23,200.0","23,300.0","21,600.0",2.71M,-6.90%,CTS
10/18/2023,"23,200.0","25,000.0","25,400.0","23,150.0",3.43M,-6.64%,CTS
10/17/2023,"24,850.0","27,000.0","27,200.0","24,850.0",1.17M,-6.93%,CTS
10/16/2023,"26,700.0","27,400.0","27,400.0","26,500.0",1.62M,-2.55%,CTS
10/13/2023,"27,400.0","27,100.0","27,700.0","26,500.0",1.54M,-0.72%,CTS
10/12/2023,"27,600.0","27,900.0","28,200.0","27,400.0",1.93M,0.36%,CTS
10/11/2023,"27,500.0","26,600.0","27,500.0","26,200.0",1.48M,3.38%,CTS
10/10/2023,"26,600.0","27,000.0","27,400.0","26,600.0",2.18M,0.00%,CTS
10/09/2023,"26,600.0","26,150.0","26,750.0","25,850.0",1.31M,1.53%,CTS
10/06/2023,"26,200.0","25,400.0","26,250.0","24,650.0",1.95M,2.75%,CTS
10/05/2023,"25,500.0","26,800.0","27,150.0","25,500.0",1.55M,-4.85%,CTS
10/04/2023,"26,800.0","24,900.0","27,950.0","24,900.0",2.64M,1.71%,CTS
10/03/2023,"26,350.0","27,800.0","27,800.0","26,350.0",3.32M,-6.89%,CTS
10/02/2023,"28,300.0","28,900.0","29,200.0","28,300.0",1.63M,-2.08%,CTS
09/29/2023,"28,900.0","30,000.0","30,000.0","28,500.0",1.74M,-2.03%,CTS
09/28/2023,"29,500.0","28,950.0","30,100.0","28,300.0",2.26M,2.25%,CTS
09/27/2023,"28,850.0","27,500.0","28,850.0","26,800.0",2.95M,6.85%,CTS
09/26/2023,"27,000.0","26,000.0","28,750.0","26,000.0",3.13M,0.19%,CTS
09/25/2023,"26,950.0","28,000.0","29,100.0","26,950.0",1.76M,-6.91%,CTS
09/22/2023,"28,950.0","29,700.0","30,500.0","28,950.0",4.14M,-6.91%,CTS
09/21/2023,"31,100.0","32,750.0","32,900.0","31,100.0",2.28M,-5.18%,CTS
09/20/2023,"32,800.0","32,700.0","33,450.0","32,450.0",1.39M,1.55%,CTS
09/19/2023,"32,300.0","31,600.0","32,400.0","31,000.0",1.46M,2.22%,CTS
09/18/2023,"31,600.0","31,350.0","32,000.0","30,900.0",1.23M,0.48%,CTS
09/15/2023,"31,450.0","32,600.0","32,600.0","31,200.0",1.49M,-1.72%,CTS
09/14/2023,"32,000.0","32,400.0","33,000.0","31,600.0",1.99M,-1.84%,CTS
09/13/2023,"32,600.0","32,650.0","33,600.0","31,650.0",2.23M,0.77%,CTS
09/12/2023,"32,350.0","31,500.0","32,350.0","30,650.0",1.88M,6.94%,CTS
09/11/2023,"30,250.0","30,200.0","31,750.0","29,800.0",3.31M,1.17%,CTS
09/08/2023,"29,900.0","30,000.0","30,350.0","29,800.0",1.09M,-0.33%,CTS
